input,in_size,algorithm,out_size,n_factors,comp_time,mem_usage
data/proteins.100MB,5242880,LZ77,3640784,2449710,422,104857612
data/proteins.100MB,10485760,LZ77,5506232,3260369,753,209715212
data/proteins.100MB,15728640,LZ77,8048218,4359886,1127,314572812
data/proteins.100MB,20971520,LZ77,10898349,5417345,1516,419430412
data/proteins.100MB,26214400,LZ77,13862186,6554301,1980,524288012
data/proteins.100MB,31457280,LZ77,18657190,8242594,2500,629145612
data/proteins.100MB,36700160,LZ77,24292056,9768646,3202,734003212
data/proteins.100MB,41943040,LZ77,29546159,11175280,3782,838860812
data/proteins.100MB,47185920,LZ77,34799828,12475991,4233,943718412
data/proteins.100MB,52428800,LZ77,39772301,13690968,4884,1048576012
data/proteins.100MB,57671680,LZ77,43974301,14625889,5725,1153433612
data/proteins.100MB,62914560,LZ77,47999436,15488171,6007,1258291212
data/proteins.100MB,68157440,LZ77,51748186,32302116,7554,1363148812
data/proteins.100MB,73400320,LZ77,56540563,34685243,8381,1468006412
data/proteins.100MB,78643200,LZ77,59961817,36346700,9090,1572864012
data/proteins.100MB,83886080,LZ77,63513587,38106374,9612,1677721612
data/proteins.100MB,89128960,LZ77,66543625,39538769,10165,1782579212
data/proteins.100MB,94371840,LZ77,68855988,40617735,10685,1887436812
data/proteins.100MB,99614720,LZ77,70130242,41173494,11500,1992294412
data/proteins.100MB,104857600,LZ77,72574978,42479774,11898,2097152012
